0|01|Affections du système nerveux
0|02|Affections de l'oeil
0|03|Affections des oreilles, du nez, de la gorge, de la bouche et des dents
0|04|Affections de l'appareil respiratoire
0|05|Affections de l'appareil circulatoire
0|06|Affections du tube digestif
0|07|Affections du système hépatobiliaire et du pancréas
0|08|Affections et traumatismes de l'appareil musculosquelettique et du tissu conjonctif
0|09|Affections de la peau, des tissus souscutanés et des seins
0|10|Affections endocriniennes, métaboliques et nutritionnelles
0|11|Affections du rein et des voies urinaires
0|12|Affections de l'appareil génital masculin
0|13|Affections de l'appareil génital féminin
0|14|Grossesses pathologiques, accouchements et affections du post-partum
0|15|Nouveau-nés, prématurés et affections de la période périnatale
0|16|Affections du sang et des organes hématopoïétiques
0|17|Affections myéloprolifératives et tumeurs de siège imprécis ou diffus
0|18|Maladies infectieuses et parasitaires
0|19|Maladies et troubles mentaux
0|20|Troubles mentaux organiques liés à l'absorption de drogues ou induits par celles-ci
0|21|Traumatismes, allergies et empoisonnements
0|22|Brûlures
0|23|Facteurs influant sur l'état de santé et autres motifs de recours aux services de santé
0|24|@Séjours de moins de 2 jours
0|25|Maladies dues à une infection par le VIH
0|26|Traumatismes multiples graves
0|27|Transplantations d'organes
0|28|Séances
0|90|Erreurs et autres séjours inclassables
1|01|01|Migraines et céphalées
1|01|02|Convulsions hyperthermiques
1|01|03|Épilepsies
1|01|04|Méningites virales
1|01|05|Infections du système nerveux sauf méningites virales
1|01|06|Tumeurs malignes du système nerveux
1|01|07|Autres tumeurs du système nerveux
1|01|08|Maladies dégénératives du système nerveux
1|01|09|Hydrocéphalies
1|01|10|Affections et lésions du rachis et de la moelle
1|01|11|Anévrysmes cérébraux non rompus
1|01|12|Autres affections cérébrovasculaires
1|01|13|Affections des nerfs crâniens et rachidiens
1|01|14|Autres affections du système nerveux
1|01|15|Troubles de la conscience et comas d'origine non traumatique
1|01|16|Troubles du sommeil
1|01|17|Accidents vasculaires intracérébraux non transitoires
1|01|18|Autres accidents vasculaires cérébraux non transitoires
1|01|19|Accidents ischémiques transitoires
1|01|20|Sclérose en plaques et ataxie cérébelleuse
1|01|21|Lésions crâniennes et cérébrales traumatiques
1|01|22|Douleurs chroniques irréductibles
1|01|23|Explorations et surveillance de la CMD 01
1|01|24|Autres symptômes et recours aux soins de la CMD 01
1|01|25|Anomalies de la démarche et troubles apparentés
1|01|26|Autres affections neurologiques du nouveau-né
1|01|27|Troubles de la régulation thermique du nouveau-né
1|02|01|Hyphéma
1|02|02|Infections oculaires aigües sévères
1|02|03|Affections oculaires d'origine neurologique
1|02|04|Autres affections oculaires
1|02|05|Explorations et surveillance de la CMD 02
1|02|06|Autres symptômes et recours aux soins de la CMD 02
1|03|01|Traumatismes du nez et déformations nasales
1|03|02|Otites moyennes et infections des voies aériennes supérieures
1|03|03|Troubles de l'équilibre
1|03|04|Épistaxis
1|03|05|Tumeurs malignes ORL
1|03|06|Autres affections ORL-Stomato
1|03|07|Affections de la bouche et des dents
1|03|08|Explorations et surveillance de la CMD 03
1|03|09|Autres symptômes et recours aux soins de la CMD 03
1|04|01|Bronchites et asthme
1|04|02|Bronchiolites
1|04|03|Pneumopathies et pleurésies banales
1|04|04|Grippes
1|04|05|Infections et inflammations respiratoires
1|04|06|Fibroses kystiques
1|04|07|Tuberculose
1|04|08|Bronchopneumopathies chroniques obstructives
1|04|09|Tumeurs de l'appareil respiratoire
1|04|10|Embolies pulmonaires
1|04|11|Signes et symptômes respiratoires
1|04|12|Pneumothorax
1|04|13|Oedème pulmonaire et détresses respiratoires
1|04|14|Maladies pulmonaires interstitielles
1|04|15|Autres affections de l'appareil respiratoire
1|04|16|Traumatismes thoraciques
1|04|17|Épanchements pleuraux
1|04|18|Suivis de greffe pulmonaire
1|04|19|Autres symptômes et recours aux soins de la CMD 04
1|04|20|Explorations et surveillance de la CMD 04
1|04|21|Autres affections respiratoires du nouveau-né
1|05|01|Syncopes et lipothymies                                                         
1|05|02|Angine de poitrine                                                              
1|05|03|Thrombophlébites veineuses profondes                                            
1|05|04|Arythmies et troubles de la conduction                                          
1|05|05|Insuffisances cardiaques et états de choc                                       
1|05|06|Cardiopathies congénitales et valvulopathies                                    
1|05|07|Troubles vasculaires périphériques                                              
1|05|08|Douleurs thoraciques                                                            
1|05|09|Arrêt cardiaque                                                                 
1|05|10|Hypertension artérielle                                                         
1|05|11|Athérosclérose coronarienne                                                     
1|05|12|Autres affections de l'appareil circulatoire                                    
1|05|13|Endocardites aiguës et subaiguës                                                
1|05|14|Autres symptômes et recours aux soins de la CMD 05
1|05|15|Explorations et surveillance de la CMD 05
1|05|16|*** Erreur. DXCAT non attribuée (>G904) ***
1|06|01|Affections sévères du tube digestif
1|06|02|Autres gastroentérites et maladies diverses du tube digestif
1|06|03|Douleurs abdominales
1|06|04|Hémorragies digestives
1|06|05|Tumeurs malignes de l'oesophage et de l'estomac
1|06|06|Autres tumeurs malignes de l'appareil digestif
1|06|07|Invaginations intestinales aigües
1|06|08|Occlusions intestinales
1|06|09|Maladies inflammatoires de l'intestin
1|06|10|Autres affections digestives
1|06|11|Tumeurs bénignes de l'appareil digestif
1|06|12|Ulcères gastroduodénaux compliqués
1|06|13|Ulcères gastroduodénaux non compliqués
1|06|14|Suivi de greffes de l'appareil digestif
1|06|15|Soins de stomies digestives
1|06|16|Autres symptômes et recours aux soins de la CMD 06
1|06|17|Explorations et surveillance de la CMD 06
1|06|18|Autres affections digestives du nouveau-né
1|07|01|Affections des voies biliaires
1|07|02|Cirrhoses alcooliques
1|07|03|Autres cirrhoses et fibrose hépatique
1|07|04|Affections hépatiques sévères
1|07|05|Autres affections hépatiques
1|07|06|Hépatites chroniques
1|07|07|Pancréatites aigües
1|07|08|Autres affections non malignes du pancréas
1|07|09|Affections malignes du système hépatobiliaire et du pancréas
1|07|10|Suivi de greffes hépatiques et pancréatiques
1|07|11|Explorations et surveillance de la CMD 07
1|07|12|Autres symptômes et recours aux soins de la CMD 07
1|07|13|Ictères du nouveau-né
1|08|01|Fractures, entorses, luxations du bras et de l'avant-bras
1|08|02|Fractures, entorses, luxations de la main
1|08|03|Fractures, entorses, luxations du pied
1|08|04|Fractures de la hanche et du bassin
1|08|05|Fractures du fémur
1|08|06|Fractures, entorses, luxations de la jambe (sauf avant-pied)
1|08|07|Entorses et luxations du bassin et de la hanche
1|08|08|Arthropathies non spécifiques
1|08|09|Maladies osseuses et arthropathies spécifiques
1|08|10|Tumeurs malignes des os
1|08|11|Fractures pathologiques et autres affections malignes de l'appareil musculosquelettique et du tissu conjonctif
1|08|12|Entorses et luxations du rachis
1|08|13|Fractures du rachis
1|08|14|Sciatiques et autres radiculopathies
1|08|15|Autres rachialgies
1|08|16|Autres pathologies rachidiennes relevant d'un traitement médical
1|08|17|Rhumatismes et raideurs articulaires
1|08|18|Affections du tissu conjonctif
1|08|19|Tendinites, myosites et bursites
1|08|20|Ostéomyélites aigües (y compris vertébrales) et arthrites septiques
1|08|21|Ostéomyélites chroniques
1|08|22|Suites de traitement après une affection de l'appareil musculosquelettique ou du tissu conjonctif
1|08|23|Ablation de matériel sans acte classant
1|08|24|Autres affections de l'appareil musculosquelettique et du tissu conjonctif
1|08|25|Algoneurodystrophie
