M2020-01,11,29,090320,ARBREDEC
M2020-01,11,29,090320,1568,5
0   ,30,0  ,0  ,2  ,1    
1   ,5 ,8  ,6  ,2  ,3    
2   ,2 ,20 ,7  ,2  ,5    
3   ,12,6  ,90 ,0  ,5017 
4   ,5 ,4  ,5  ,2  ,7    
5   ,2 ,17 ,1  ,2  ,9    
6   ,2 ,17 ,2  ,2  ,11   
7   ,5 ,4  ,6  ,2  ,13   
8   ,2 ,23 ,7  ,2  ,15   
9   ,5 ,6  ,6  ,2  ,17   
10  ,29,0  ,0  ,2  ,19   
11  ,2 ,17 ,3  ,2  ,21   
12  ,12,0  ,27 ,0  ,1020 
13  ,5 ,17 ,7  ,2  ,23   
14  ,12,0  ,28 ,0  ,5077 
15  ,2 ,24 ,0  ,2  ,25   
16  ,12,0  ,28 ,0  ,5017 
17  ,5 ,6  ,3  ,2  ,27   
18  ,36,6  ,7  ,2  ,29   
19  ,2 ,23 ,5  ,2  ,31   
20  ,12,0  ,27 ,0  ,5046 
21  ,2 ,17 ,4  ,2  ,33   
22  ,12,0  ,27 ,0  ,1030 
23  ,5 ,8  ,2  ,2  ,35   
24  ,12,0  ,28 ,0  ,5177 
25  ,2 ,30 ,5  ,2  ,37   
26  ,12,0  ,28 ,0  ,5027 
27  ,6 ,6  ,3  ,2  ,39   
28  ,6 ,6  ,4  ,2  ,41   
29  ,36,7  ,0  ,2  ,43   
30  ,36,7  ,0  ,2  ,45   
31  ,12,0  ,27 ,0  ,5037 
32  ,12,0  ,27 ,0  ,5020 
33  ,2 ,3  ,2  ,2  ,47   
34  ,12,0  ,27 ,0  ,1040 
35  ,5 ,8  ,3  ,2  ,49   
36  ,2 ,40 ,5  ,2  ,51   
37  ,5 ,13 ,5  ,2  ,53   
38  ,12,0  ,28 ,0  ,5037 
39  ,3 ,7  ,1  ,2  ,55   
40  ,5 ,6  ,4  ,2  ,57   
41  ,20,0  ,27 ,1  ,0    
42  ,19,9  ,0  ,2  ,59   
43  ,36,7  ,1  ,2  ,61   
44  ,20,0  ,45 ,1  ,0    
45  ,36,7  ,1  ,2  ,63   
46  ,2 ,0  ,0  ,2  ,65   
47  ,2 ,11 ,4  ,2  ,67   
48  ,12,0  ,27 ,0  ,1050 
49  ,5 ,7  ,7  ,2  ,69   
50  ,2 ,44 ,1  ,2  ,71   
51  ,2 ,40 ,6  ,2  ,73   
52  ,12,0  ,28 ,0  ,5197 
53  ,12,214,90 ,0  ,5027 
54  ,12,0  ,28 ,0  ,5047 
55  ,5 ,16 ,7  ,2  ,75   
56  ,19,7  ,2  ,2  ,77   
57  ,20,0  ,39 ,1  ,0    
58  ,20,0  ,42 ,1  ,0    
59  ,3 ,12 ,0  ,2  ,79   
60  ,12,0  ,25 ,0  ,5025 
61  ,36,7  ,2  ,2  ,81   
62  ,20,0  ,63 ,1  ,0    
63  ,36,7  ,2  ,2  ,83   
64  ,20,0  ,46 ,1  ,0    
65  ,12,0  ,26 ,0  ,4020 
66  ,12,0  ,26 ,0  ,1020 
67  ,2 ,34 ,4  ,2  ,85   
68  ,12,0  ,27 ,0  ,1060 
69  ,5 ,15 ,6  ,2  ,87   
70  ,12,0  ,28 ,0  ,5147 
71  ,2 ,27 ,0  ,2  ,89   
72  ,20,0  ,2  ,1  ,0    
73  ,2 ,40 ,7  ,2  ,91   
74  ,12,0  ,28 ,0  ,5207 
75  ,2 ,0  ,0  ,2  ,93   
76  ,12,0  ,15 ,0  ,5105 
77  ,19,6  ,2  ,2  ,95   
78  ,3 ,28 ,1  ,2  ,97   
79  ,12,0  ,25 ,0  ,5030 
80  ,2 ,0  ,0  ,2  ,99   
81  ,36,7  ,3  ,2  ,101  
82  ,20,0  ,83 ,1  ,0    
83  ,36,7  ,3  ,2  ,103  
84  ,20,0  ,46 ,1  ,0    
85  ,12,200,90 ,0  ,5027 
86  ,12,0  ,27 ,0  ,1070 
87  ,5 ,16 ,5  ,2  ,105  
88  ,12,0  ,28 ,0  ,5157 
89  ,2 ,22 ,5  ,2  ,107  
90  ,12,0  ,28 ,0  ,5107 
91  ,2 ,41 ,0  ,2  ,109  
92  ,12,0  ,28 ,0  ,5217 
93  ,19,7  ,0  ,2  ,111  
94  ,39,0  ,0  ,1  ,113  
95  ,19,0  ,2  ,2  ,114  
96  ,20,0  ,78 ,1  ,0    
97  ,20,0  ,55 ,1  ,0    
98  ,3 ,0  ,0  ,2  ,116  
99  ,18,6  ,5  ,2  ,118  
100 ,12,0  ,25 ,0  ,1020 
101 ,36,7  ,4  ,2  ,120  
102 ,20,0  ,103,1  ,0    
103 ,36,7  ,4  ,2  ,122  
104 ,20,0  ,46 ,1  ,0    
105 ,12,202,90 ,0  ,5027 
106 ,12,0  ,28 ,0  ,5167 
107 ,2 ,39 ,3  ,2  ,124  
108 ,12,0  ,28 ,0  ,5117 
109 ,12,215,90 ,0  ,5027 
110 ,12,0  ,28 ,0  ,5227 
111 ,19,9  ,0  ,2  ,126  
112 ,19,1  ,1  ,2  ,128  
113 ,38,10 ,10 ,2  ,130  
114 ,5 ,17 ,1  ,2  ,132  
115 ,20,0  ,78 ,1  ,0    
116 ,42,9  ,196,2  ,134  
117 ,20,0  ,114,1  ,0    
118 ,36,6  ,5  ,2  ,136  
119 ,12,0  ,25 ,0  ,4023 
120 ,36,7  ,5  ,2  ,138  
121 ,20,0  ,122,1  ,0    
122 ,36,7  ,5  ,2  ,140  
123 ,20,0  ,46 ,1  ,0    
124 ,2 ,41 ,1  ,2  ,142  
125 ,12,0  ,28 ,0  ,5187 
126 ,39,0  ,0  ,1  ,144  
127 ,22,0  ,4  ,2  ,145  
128 ,20,0  ,126,1  ,0    
129 ,22,0  ,4  ,2  ,147  
130 ,38,8  ,9  ,2  ,149  
131 ,7 ,22 ,4  ,2  ,151  
132 ,20,0  ,153,1  ,0    
133 ,34,0  ,0  ,1  ,153  
134 ,20,0  ,114,1  ,0    
135 ,20,0  ,55 ,1  ,0    
136 ,12,0  ,25 ,0  ,4021 
137 ,12,0  ,25 ,0  ,4022 
138 ,20,0  ,17 ,1  ,0    
139 ,20,0  ,140,1  ,0    
140 ,36,7  ,6  ,2  ,154  
141 ,20,0  ,46 ,1  ,0    
142 ,2 ,41 ,2  ,2  ,156  
143 ,12,0  ,28 ,0  ,5237 
144 ,38,1  ,1  ,2  ,158  
145 ,12,0  ,15 ,0  ,4045 
146 ,12,0  ,15 ,0  ,4035 
147 ,20,0  ,126,1  ,0    
148 ,12,0  ,15 ,0  ,4027 
149 ,38,1  ,7  ,2  ,160  
150 ,7 ,22 ,4  ,2  ,162  
151 ,12,0  ,15 ,0  ,1061 
152 ,12,0  ,15 ,0  ,1062 
153 ,0 ,0  ,0  ,24 ,164  
154 ,20,0  ,17 ,1  ,0    
155 ,20,0  ,46 ,1  ,0    
156 ,2 ,41 ,3  ,2  ,188  
157 ,12,0  ,28 ,0  ,5247 
158 ,38,2  ,2  ,2  ,190  
159 ,7 ,22 ,4  ,2  ,192  
160 ,12,213,90 ,0  ,5027 
161 ,2 ,43 ,4  ,2  ,194  
162 ,12,0  ,15 ,0  ,1051 
163 ,12,0  ,15 ,0  ,1052 
164 ,1 ,1  ,0  ,3  ,196  
165 ,2 ,18 ,0  ,2  ,199  
166 ,2 ,18 ,1  ,2  ,201  
167 ,2 ,18 ,2  ,2  ,203  
168 ,2 ,18 ,3  ,2  ,205  
169 ,2 ,18 ,4  ,2  ,207  
170 ,2 ,18 ,5  ,2  ,209  
171 ,2 ,18 ,6  ,2  ,211  
172 ,2 ,18 ,7  ,2  ,213  
173 ,5 ,11 ,3  ,2  ,215  
174 ,2 ,19 ,1  ,2  ,217  
175 ,2 ,19 ,2  ,2  ,219  
176 ,14,2  ,0  ,2  ,221  
177 ,14,1  ,0  ,2  ,223  
178 ,14,2  ,0  ,2  ,225  
179 ,12,211,90 ,0  ,5027 
180 ,2 ,19 ,7  ,2  ,227  
181 ,5 ,8  ,2  ,2  ,229  
182 ,2 ,0  ,0  ,2  ,231  
183 ,2 ,0  ,0  ,2  ,233  
184 ,1 ,1  ,0  ,6  ,235  
185 ,2 ,20 ,4  ,2  ,241  
186 ,19,7  ,0  ,2  ,243  
187 ,5 ,15 ,3  ,2  ,245  
188 ,12,216,90 ,0  ,5027 
189 ,12,0  ,28 ,0  ,5257 
190 ,38,3  ,3  ,2  ,247  
191 ,7 ,22 ,4  ,2  ,249  
192 ,7 ,22 ,5  ,2  ,251  
193 ,12,0  ,15 ,0  ,4054 
194 ,2 ,43 ,5  ,2  ,253  
195 ,7 ,22 ,4  ,2  ,255  
196 ,12,3  ,90 ,0  ,5017 
197 ,12,3  ,90 ,0  ,5017 
198 ,12,5  ,90 ,0  ,5017 
199 ,9 ,23 ,0  ,2  ,257  
200 ,2 ,25 ,6  ,2  ,259  
201 ,9 ,23 ,0  ,2  ,261  
202 ,2 ,28 ,0  ,2  ,263  
203 ,9 ,23 ,0  ,2  ,265  
204 ,2 ,37 ,6  ,2  ,267  
205 ,9 ,23 ,0  ,2  ,269  
206 ,2 ,3  ,0  ,2  ,271  
207 ,2 ,45 ,0  ,2  ,273  
208 ,2 ,3  ,3  ,2  ,275  
209 ,9 ,23 ,0  ,2  ,277  
210 ,2 ,5  ,1  ,2  ,279  
211 ,9 ,23 ,0  ,2  ,281  
212 ,2 ,17 ,7  ,2  ,283  
213 ,9 ,23 ,0  ,2  ,285  
214 ,5 ,19 ,7  ,2  ,287  
215 ,2 ,19 ,0  ,2  ,289  
216 ,6 ,26 ,4  ,2  ,291  
217 ,9 ,23 ,0  ,2  ,293  
218 ,2 ,23 ,1  ,2  ,295  
219 ,9 ,23 ,0  ,2  ,297  
220 ,2 ,11 ,5  ,2  ,299  
221 ,2 ,19 ,3  ,2  ,301  
222 ,12,2  ,90 ,0  ,5017 
223 ,2 ,19 ,4  ,2  ,303  
224 ,12,2  ,90 ,0  ,5017 
225 ,12,2  ,90 ,0  ,5017 
226 ,6 ,5  ,0  ,2  ,305  
227 ,9 ,23 ,0  ,2  ,307  
228 ,2 ,15 ,0  ,2  ,309  
229 ,2 ,0  ,0  ,2  ,311  
230 ,12,212,90 ,0  ,5017 
231 ,22,0  ,2  ,2  ,313  
232 ,12,0  ,18 ,0  ,1020 
233 ,35,0  ,0  ,2  ,315  
234 ,12,0  ,19 ,0  ,1020 
235 ,12,201,90 ,0  ,5027 
236 ,12,0  ,20 ,0  ,5020 
237 ,12,0  ,20 ,0  ,5030 
238 ,12,0  ,20 ,0  ,5040 
239 ,12,0  ,20 ,0  ,5050 
240 ,12,0  ,20 ,0  ,5060 
241 ,9 ,23 ,0  ,2  ,317  
242 ,2 ,15 ,5  ,2  ,319  
243 ,36,4  ,4  ,2  ,321  
244 ,19,1  ,1  ,2  ,323  
245 ,13,1  ,0  ,2  ,325  
246 ,12,0  ,23 ,0  ,5037 
247 ,38,4  ,4  ,2  ,327  
248 ,7 ,22 ,7  ,2  ,329  
249 ,7 ,22 ,5  ,2  ,331  
250 ,12,0  ,15 ,0  ,4064 
251 ,7 ,22 ,6  ,2  ,333  
252 ,12,0  ,15 ,0  ,4053 
253 ,7 ,22 ,4  ,2  ,335  
254 ,7 ,22 ,4  ,2  ,337  
255 ,12,0  ,15 ,0  ,1021 
256 ,12,0  ,15 ,0  ,1022 
257 ,2 ,0  ,0  ,2  ,339  
258 ,28,80 ,0  ,1  ,339  
259 ,2 ,0  ,1  ,2  ,341  
260 ,12,0  ,1  ,0  ,1090 
261 ,2 ,0  ,0  ,2  ,343  
