M2020-01,11,29,090320,TABCOMBI
M2020-01,11,29,090320,490,7
1,0350,0399,22,33,10
1,0350,0399,99,99,10
1,0400,0449,22,33,10
1,0400,0449,99,99,10
1,0450,0499,22,33,10
1,0450,0499,99,99,10
1,0500,0549,22,33,10
1,0500,0549,99,99,10
1,0550,0599,22,33,10
1,0550,0599,99,99,10
1,0600,0649,22,33,10
1,0600,0649,99,99,10
1,0650,0699,22,33,10
1,0650,0699,99,99,10
1,0700,0749,22,33,10
1,0700,0749,34,35,9
1,0700,0749,99,99,10
1,0750,0799,22,30,10
1,0750,0799,31,35,9
1,0750,0799,99,99,10
1,0800,0849,22,30,10
1,0800,0849,31,34,9
1,0800,0849,35,36,8
1,0800,0849,99,99,10
1,0850,0899,22,29,10
1,0850,0899,30,34,9
1,0850,0899,35,36,8
1,0850,0899,99,99,10
1,0900,0949,22,28,10
1,0900,0949,29,33,9
1,0900,0949,34,36,8
1,0900,0949,37,43,7
1,0900,0949,99,99,10
1,0950,0999,22,28,10
1,0950,0999,29,31,9
1,0950,0999,32,35,8
1,0950,0999,36,43,7
1,0950,0999,99,99,10
1,1000,1049,22,27,10
1,1000,1049,28,31,9
1,1000,1049,32,34,8
1,1000,1049,35,43,7
1,1000,1049,99,99,9
1,1050,1099,22,27,10
1,1050,1099,28,30,9
1,1050,1099,31,34,8
1,1050,1099,35,43,7
1,1050,1099,99,99,9
1,1100,1149,22,27,10
1,1100,1149,28,30,9
1,1100,1149,31,34,8
1,1100,1149,35,43,7
1,1100,1149,99,99,9
1,1150,1199,22,26,10
1,1150,1199,27,30,9
1,1150,1199,31,33,8
1,1150,1199,34,38,7
1,1150,1199,39,43,6
1,1150,1199,99,99,9
1,1200,1249,22,26,10
1,1200,1249,27,30,9
1,1200,1249,31,33,8
1,1200,1249,34,37,7
1,1200,1249,38,43,6
1,1200,1249,99,99,9
1,1250,1299,22,26,10
1,1250,1299,27,29,9
1,1250,1299,30,33,8
1,1250,1299,34,36,7
1,1250,1299,37,43,6
1,1250,1299,99,99,8
1,1300,1349,22,26,10
1,1300,1349,27,29,9
1,1300,1349,30,33,8
1,1300,1349,34,36,7
1,1300,1349,37,43,6
1,1300,1349,99,99,8
1,1350,1399,22,26,10
1,1350,1399,27,29,9
1,1350,1399,30,32,8
1,1350,1399,33,36,7
1,1350,1399,37,43,6
1,1350,1399,99,99,8
1,1400,1449,22,23,10
1,1400,1449,24,29,9
1,1400,1449,30,32,8
1,1400,1449,33,35,7
1,1400,1449,36,43,6
1,1400,1449,99,99,8
1,1450,1499,24,29,9
1,1450,1499,30,32,8
1,1450,1499,33,35,7
1,1450,1499,36,43,6
1,1450,1499,99,99,8
1,1500,1549,24,29,9
1,1500,1549,30,32,8
1,1500,1549,33,34,7
1,1500,1549,35,43,6
1,1500,1549,99,99,8
1,1550,1599,24,29,9
1,1550,1599,30,32,8
1,1550,1599,33,34,7
1,1550,1599,35,43,6
1,1550,1599,99,99,8
1,1600,1649,24,29,9
1,1600,1649,30,31,8
1,1600,1649,32,33,7
1,1600,1649,34,43,6
1,1600,1649,99,99,7
1,1650,1699,24,29,9
1,1650,1699,30,31,8
1,1650,1699,32,33,7
1,1650,1699,34,36,6
1,1650,1699,37,37,5
1,1650,1699,38,43,6
1,1650,1699,99,99,7
1,1700,1749,24,29,9
1,1700,1749,30,31,8
1,1700,1749,32,33,7
1,1700,1749,34,35,6
1,1700,1749,36,38,5
1,1700,1749,39,43,6
1,1700,1749,99,99,7
1,1750,1799,24,29,9
1,1750,1799,30,31,8
1,1750,1799,32,33,7
1,1750,1799,34,34,6
1,1750,1799,35,44,5
1,1750,1799,99,99,7
1,1800,1849,24,29,9
1,1800,1849,30,31,8
1,1800,1849,32,33,7
1,1800,1849,34,34,6
1,1800,1849,35,44,5
1,1800,1849,99,99,6
1,1850,1899,24,29,9
1,1850,1899,30,31,8
1,1850,1899,32,32,7
1,1850,1899,33,34,6
1,1850,1899,35,44,5
1,1850,1899,99,99,6
1,1900,1949,24,29,9
1,1900,1949,30,31,8
1,1900,1949,32,32,7
1,1900,1949,33,34,6
1,1900,1949,35,36,5
1,1900,1949,37,39,4
1,1900,1949,40,44,5
1,1900,1949,99,99,6
1,1950,1999,24,29,9
1,1950,1999,30,31,8
1,1950,1999,32,32,7
1,1950,1999,33,34,6
1,1950,1999,35,35,5
1,1950,1999,36,40,4
1,1950,1999,41,44,5
1,1950,1999,99,99,5
1,2000,2049,24,29,9
1,2000,2049,30,31,8
1,2000,2049,32,32,7
1,2000,2049,33,33,6
1,2000,2049,34,35,5
1,2000,2049,36,37,4
1,2000,2049,38,44,3
1,2000,2049,99,99,5
1,2050,2099,24,28,9
1,2050,2099,29,31,8
1,2050,2099,32,32,7
1,2050,2099,33,33,6
1,2050,2099,34,35,5
1,2050,2099,36,37,4
1,2050,2099,38,44,3
1,2050,2099,99,99,5
1,2100,2149,26,31,8
1,2100,2149,32,32,7
1,2100,2149,33,33,6
1,2100,2149,34,34,5
1,2100,2149,35,36,4
1,2100,2149,37,44,3
1,2100,2149,99,99,4
1,2150,2199,26,31,8
1,2150,2199,32,32,7
1,2150,2199,33,33,6
1,2150,2199,34,34,5
1,2150,2199,35,36,4
1,2150,2199,37,44,3
1,2150,2199,99,99,4
1,2200,2249,26,30,8
1,2200,2249,31,32,7
1,2200,2249,33,33,6
1,2200,2249,34,34,5
1,2200,2249,35,35,4
1,2200,2249,36,38,3
1,2200,2249,39,39,2
1,2200,2249,40,44,3
1,2200,2249,99,99,3
1,2250,2299,27,32,7
1,2250,2299,33,33,6
1,2250,2299,34,34,5
1,2250,2299,35,35,4
1,2250,2299,36,38,3
1,2250,2299,39,40,2
1,2250,2299,41,44,3
1,2250,2299,99,99,3
1,2300,2349,27,32,7
1,2300,2349,33,33,6
1,2300,2349,34,34,5
1,2300,2349,35,35,4
1,2300,2349,36,37,3
1,2300,2349,38,40,2
1,2300,2349,41,44,3
1,2300,2349,99,99,3
1,2350,2399,27,33,6
1,2350,2399,34,34,5
1,2350,2399,35,35,4
1,2350,2399,36,36,3
1,2350,2399,37,44,2
1,2350,2399,99,99,2
1,2400,2449,27,33,6
1,2400,2449,34,34,5
1,2400,2449,35,35,4
1,2400,2449,36,36,3
1,2400,2449,37,44,2
1,2400,2449,99,99,2
1,2450,2499,27,33,6
1,2450,2499,34,34,5
1,2450,2499,35,35,4
1,2450,2499,36,36,3
1,2450,2499,37,44,2
1,2450,2499,99,99,2
1,2500,2549,27,33,6
1,2500,2549,34,34,5
1,2500,2549,35,35,4
1,2500,2549,36,36,3
1,2500,2549,37,38,2
1,2500,2549,39,40,1
1,2500,2549,41,44,2
1,2500,2549,99,99,2
1,2550,2599,27,32,6
1,2550,2599,33,34,5
1,2550,2599,35,35,4
1,2550,2599,36,38,2
1,2550,2599,39,40,1
1,2550,2599,41,44,2
1,2550,2599,99,99,2
1,2600,2649,28,29,6
1,2600,2649,30,34,5
1,2600,2649,35,35,4
1,2600,2649,36,37,2
1,2600,2649,38,40,1
1,2600,2649,41,44,2
1,2600,2649,99,99,1
1,2650,2699,28,29,6
1,2650,2699,30,34,5
1,2650,2699,35,35,4
1,2650,2699,36,37,2
1,2650,2699,38,41,1
1,2650,2699,42,44,2
1,2650,2699,99,99,1
1,2700,2749,29,29,6
1,2700,2749,30,34,5
1,2700,2749,35,35,4
1,2700,2749,36,37,2
1,2700,2749,38,41,1
1,2700,2749,42,44,2
1,2700,2749,99,99,1
1,2750,2799,29,34,5
1,2750,2799,35,35,4
1,2750,2799,36,37,2
1,2750,2799,38,41,1
1,2750,2799,42,44,2
1,2750,2799,99,99,1
1,2800,2849,29,33,5
1,2800,2849,34,35,4
1,2800,2849,36,37,2
1,2800,2849,38,41,1
1,2800,2849,42,44,2
1,2800,2849,99,99,1
1,2850,2899,29,33,5
1,2850,2899,34,34,4
1,2850,2899,35,35,3
1,2850,2899,36,36,2
1,2850,2899,37,44,1
1,2850,2899,99,99,1
1,2900,2949,29,32,5
1,2900,2949,33,34,4
1,2900,2949,35,35,3
1,2900,2949,36,36,2
1,2900,2949,37,44,1
1,2900,2949,99,99,1
1,2950,2999,29,31,5
1,2950,2999,32,34,4
1,2950,2999,35,35,3
1,2950,2999,36,36,2
1,2950,2999,37,44,1
1,2950,2999,99,99,1
1,3000,3049,29,31,5
1,3000,3049,32,34,4
1,3000,3049,35,35,3
1,3000,3049,36,36,2
1,3000,3049,37,44,1
1,3000,3049,99,99,1
1,3050,3099,29,31,5
1,3050,3099,32,34,4
1,3050,3099,35,35,3
1,3050,3099,36,36,2
1,3050,3099,37,44,1
1,3050,3099,99,99,1
1,3100,3149,29,31,5
1,3100,3149,32,34,4
1,3100,3149,35,35,3
1,3100,3149,36,36,2
1,3100,3149,37,44,1
1,3100,3149,99,99,1
1,3150,3199,29,31,5
1,3150,3199,32,34,4
1,3150,3199,35,35,3
1,3150,3199,36,36,2
1,3150,3199,37,44,1
1,3150,3199,99,99,1
1,3200,3249,29,31,5
1,3200,3249,32,34,4
1,3200,3249,35,35,3
1,3200,3249,36,36,2
1,3200,3249,37,44,1
1,3200,3249,99,99,1
1,3250,3299,29,31,5
1,3250,3299,32,34,4
1,3250,3299,35,35,3
1,3250,3299,36,36,2
1,3250,3299,37,44,1
1,3250,3299,99,99,1
1,3300,3349,29,30,5
1,3300,3349,31,33,4
1,3300,3349,34,35,3
1,3300,3349,36,36,2
1,3300,3349,37,44,1
1,3300,3349,99,99,1
